method,dataset,family,level,skill,lo,hi,n_images
deep_features,symComp17_s,clean,0,0.8704,0.8249,0.9108,99
deep_features,symComp17_s,blur,1,0.8788,0.8367,0.9158,99
deep_features,symComp17_s,blur,2,0.8805,0.8350,0.9192,99
deep_features,symComp17_s,blur,4,0.8670,0.8198,0.9108,99
deep_features,symComp17_s,noise,5,0.8754,0.8283,0.9141,99
deep_features,symComp17_s,noise,10,0.8737,0.8249,0.9142,99
deep_features,symComp17_s,noise,20,0.8704,0.8232,0.9108,99
deep_features,symComp17_s,jpeg,50,0.8670,0.8165,0.9108,99
deep_features,symComp17_s,jpeg,25,0.8653,0.8182,0.9074,99
deep_features,symComp17_s,jpeg,10,0.8519,0.7979,0.8990,99
deep_features,symComp17_s,occl,10,0.8737,0.8283,0.9125,99
deep_features,symComp17_s,occl,20,0.8535,0.8030,0.9024,99
deep_features,symComp17_s,occl,30,0.8367,0.7811,0.8906,99
deep_features,NYU_s,clean,0,0.9366,0.9178,0.9545,172
deep_features,NYU_s,blur,1,0.9335,0.9141,0.9529,172
deep_features,NYU_s,blur,2,0.9374,0.9192,0.9564,172
deep_features,NYU_s,blur,4,0.9308,0.9114,0.9506,172
deep_features,NYU_s,noise,5,0.9393,0.9203,0.9587,172
deep_features,NYU_s,noise,10,0.9374,0.9184,0.9574,172
deep_features,NYU_s,noise,20,0.9384,0.9192,0.9593,172
deep_features,NYU_s,jpeg,50,0.9384,0.9203,0.9568,172
deep_features,NYU_s,jpeg,25,0.9143,0.8887,0.9390,172
deep_features,NYU_s,jpeg,10,0.9192,0.8924,0.9434,172
deep_features,NYU_s,occl,10,0.9337,0.9138,0.9535,172
deep_features,NYU_s,occl,20,0.9260,0.9027,0.9492,172
deep_features,NYU_s,occl,30,0.9163,0.8891,0.9434,172
deep_features,PIX2PER-nat,clean,0,0.7724,0.7263,0.8187,198
deep_features,PIX2PER-nat,blur,1,0.7767,0.7356,0.8160,198
deep_features,PIX2PER-nat,blur,2,0.7840,0.7444,0.8238,198
deep_features,PIX2PER-nat,blur,4,0.7598,0.7160,0.8029,198
deep_features,PIX2PER-nat,noise,5,0.7713,0.7258,0.8141,198
deep_features,PIX2PER-nat,noise,10,0.7814,0.7381,0.8220,198
deep_features,PIX2PER-nat,noise,20,0.7834,0.7378,0.8254,198
deep_features,PIX2PER-nat,jpeg,50,0.7969,0.7549,0.8371,198
deep_features,PIX2PER-nat,jpeg,25,0.8070,0.7648,0.8483,198
deep_features,PIX2PER-nat,jpeg,10,0.7952,0.7549,0.8356,198
deep_features,PIX2PER-nat,occl,10,0.7665,0.7201,0.8109,198
deep_features,PIX2PER-nat,occl,20,0.7353,0.6865,0.7843,198
deep_features,PIX2PER-nat,occl,30,0.6575,0.5989,0.7180,198
deep_features,PIX2PER-art,clean,0,0.7371,0.6852,0.7806,199
deep_features,PIX2PER-art,blur,1,0.7455,0.6978,0.7880,199
deep_features,PIX2PER-art,blur,2,0.7432,0.6946,0.7864,199
deep_features,PIX2PER-art,blur,4,0.7222,0.6731,0.7643,199
deep_features,PIX2PER-art,noise,5,0.7387,0.6844,0.7858,199
deep_features,PIX2PER-art,noise,10,0.7419,0.6889,0.7871,199
deep_features,PIX2PER-art,noise,20,0.7570,0.7072,0.8008,199
deep_features,PIX2PER-art,jpeg,50,0.7655,0.7162,0.8065,199
deep_features,PIX2PER-art,jpeg,25,0.7832,0.7397,0.8213,199
deep_features,PIX2PER-art,jpeg,10,0.7859,0.7437,0.8269,199
deep_features,PIX2PER-art,occl,10,0.7170,0.6658,0.7612,199
deep_features,PIX2PER-art,occl,20,0.6584,0.5977,0.7094,199
deep_features,PIX2PER-art,occl,30,0.5538,0.4853,0.6145,199
pixel_correlation,symComp17_s,clean,0,0.6915,0.6106,0.7694,99
pixel_correlation,symComp17_s,blur,1,0.6948,0.6173,0.7701,99
pixel_correlation,symComp17_s,blur,2,0.6965,0.6190,0.7694,99
pixel_correlation,symComp17_s,blur,4,0.6879,0.6161,0.7586,99
pixel_correlation,symComp17_s,noise,5,0.6931,0.6135,0.7710,99
pixel_correlation,symComp17_s,noise,10,0.6931,0.6135,0.7710,99
pixel_correlation,symComp17_s,noise,20,0.6948,0.6157,0.7711,99
pixel_correlation,symComp17_s,jpeg,50,0.6931,0.6123,0.7697,99
pixel_correlation,symComp17_s,jpeg,25,0.6931,0.6123,0.7706,99
pixel_correlation,symComp17_s,jpeg,10,0.6948,0.6161,0.7711,99
pixel_correlation,symComp17_s,occl,10,0.6915,0.6107,0.7694,99
pixel_correlation,symComp17_s,occl,20,0.6846,0.6071,0.7626,99
pixel_correlation,symComp17_s,occl,30,0.6725,0.5890,0.7576,99
pixel_correlation,NYU_s,clean,0,0.7667,0.7155,0.8120,172
pixel_correlation,NYU_s,blur,1,0.7616,0.7074,0.8091,172
pixel_correlation,NYU_s,blur,2,0.7471,0.6928,0.7955,172
pixel_correlation,NYU_s,blur,4,0.6919,0.6366,0.7432,172
pixel_correlation,NYU_s,noise,5,0.7676,0.7162,0.8141,172
