method,symComp17_s_skill,symComp17_s_lo,symComp17_s_hi,symComp17_s_margin,NYU_s_skill,NYU_s_lo,NYU_s_hi,NYU_s_margin,PIX2PER-art_skill,PIX2PER-art_lo,PIX2PER-art_hi,PIX2PER-art_margin,PIX2PER-nat_skill,PIX2PER-nat_lo,PIX2PER-nat_hi,PIX2PER-nat_margin
pixel_correlation,0.6915,0.6106,0.7694,0.3829,0.7667,0.7155,0.8120,0.4049,0.5522,0.4855,0.6116,0.2964,0.5407,0.4768,0.6068,0.3173
sliding_window,0.7088,0.6296,0.7879,0.4321,0.7748,0.7215,0.8204,0.4575,0.5523,0.4866,0.6109,0.3488,0.5441,0.4765,0.6098,0.3504
dct,0.6566,0.5690,0.7374,0.3581,0.7314,0.6715,0.7847,0.3956,0.5289,0.4641,0.5854,0.3022,0.5065,0.4363,0.5760,0.3082
eros,0.4293,0.3400,0.5169,0.2811,0.4610,0.3913,0.5277,0.2701,0.0353,-0.0556,0.1237,0.2513,0.1715,0.0912,0.2486,0.2445
gradient,0.7357,0.6599,0.7963,0.5013,0.8256,0.7722,0.8692,0.6004,0.5063,0.4334,0.5692,0.3652,0.6146,0.5507,0.6767,0.4149
multi_scale_gradient,0.7204,0.6396,0.7879,0.4515,0.8089,0.7641,0.8479,0.5010,0.5145,0.4365,0.5874,0.3733,0.5541,0.4910,0.6221,0.3480
hog,0.8635,0.8232,0.8988,0.5063,0.9236,0.8975,0.9457,0.4643,0.7267,0.6734,0.7736,0.3782,0.6930,0.6370,0.7461,0.3975
phog,0.6325,0.5537,0.7066,0.2736,0.7502,0.7010,0.7965,0.3300,0.5426,0.4825,0.6058,0.3170,0.5764,0.5217,0.6353,0.2859
gabor,0.7557,0.6900,0.8148,0.4029,0.8271,0.7825,0.8702,0.4504,0.6110,0.5583,0.6675,0.3623,0.6376,0.5817,0.6941,0.3738
alexnet,0.8620,0.8199,0.9007,0.4747,0.9134,0.8899,0.9353,0.5316,0.7095,0.6573,0.7558,0.3977,0.7690,0.7255,0.8148,0.4270
deep_features,0.8704,0.8249,0.9108,0.6162,0.9366,0.9178,0.9545,0.6988,0.7371,0.6852,0.7806,0.4771,0.7724,0.7263,0.8187,0.5155
weighted_binary,0.6734,0.5926,0.7526,0.3758,0.7244,0.6692,0.7769,0.3940,0.4544,0.3855,0.5176,0.2565,0.4636,0.4007,0.5281,0.2761
local_global,0.7037,0.6296,0.7761,0.3895,0.7818,0.7370,0.8215,0.4281,0.5132,0.4450,0.5750,0.3366,0.5876,0.5215,0.6523,0.3726
