method,symComp13_m_skill,symComp13_m_lo,symComp13_m_hi,symComp13_m_margin,NYU_m_skill,NYU_m_lo,NYU_m_hi,NYU_m_margin,DENDI_skill,DENDI_lo,DENDI_hi,DENDI_margin,PIX2PER-art_skill,PIX2PER-art_lo,PIX2PER-art_hi,PIX2PER-art_margin,PIX2PER-nat_skill,PIX2PER-nat_lo,PIX2PER-nat_hi,PIX2PER-nat_margin
pixel_correlation,0.5675,0.4350,0.6983,0.2954,0.6308,0.5710,0.6851,0.3524,0.2832,0.2604,0.3059,0.2079,0.5138,0.4832,0.5460,0.2770,0.4260,0.3892,0.4646,0.2640
sliding_window,0.5291,0.3624,0.6872,0.3278,0.6402,0.5713,0.7013,0.3985,0.2934,0.2678,0.3175,0.2424,0.4896,0.4559,0.5242,0.3204,0.4134,0.3752,0.4521,0.2979
dct,0.4521,0.2863,0.6026,0.2641,0.5642,0.4962,0.6290,0.3372,0.2441,0.2199,0.2666,0.2102,0.4717,0.4382,0.5065,0.2906,0.3900,0.3523,0.4276,0.2627
eros,0.2692,0.1281,0.4018,0.2128,0.2790,0.1985,0.3603,0.2610,0.1580,0.1358,0.1799,0.1701,0.0729,0.0307,0.1176,0.2319,0.0023,-0.0414,0.0453,0.2171
gradient,0.5026,0.3462,0.6591,0.3713,0.7227,0.6637,0.7795,0.5081,0.3873,0.3616,0.4120,0.3069,0.4517,0.4177,0.4897,0.3407,0.4212,0.3790,0.4644,0.3459
multi_scale_gradient,0.5171,0.3675,0.6667,0.3024,0.6233,0.5561,0.6911,0.4255,0.3069,0.2830,0.3304,0.2248,0.3851,0.3454,0.4267,0.3173,0.3968,0.3537,0.4386,0.2960
hog,0.7940,0.7162,0.8735,0.4227,0.8017,0.7510,0.8496,0.4080,0.4949,0.4731,0.5161,0.2932,0.5953,0.5610,0.6280,0.3330,0.5695,0.5375,0.6024,0.3208
phog,0.5496,0.4256,0.6565,0.2785,0.6173,0.5556,0.6778,0.2977,0.3265,0.3021,0.3491,0.2235,0.4711,0.4357,0.5076,0.2866,0.4808,0.4506,0.5144,0.2625
gabor,0.6274,0.4760,0.7692,0.3675,0.7234,0.6688,0.7748,0.3968,0.2715,0.2516,0.2924,0.1818,0.5305,0.5005,0.5617,0.3283,0.5131,0.4776,0.5511,0.3142
alexnet,0.7410,0.6470,0.8351,0.4171,0.7839,0.7340,0.8314,0.4515,0.4124,0.3889,0.4341,0.2574,0.6276,0.5996,0.6569,0.3680,0.6059,0.5732,0.6400,0.3486
deep_features,0.8154,0.7479,0.8847,0.5378,0.8705,0.8324,0.9033,0.6044,0.5222,0.5004,0.5436,0.3375,0.6490,0.6205,0.6775,0.4192,0.6271,0.5946,0.6619,0.4079
weighted_binary,0.4641,0.3119,0.6120,0.2989,0.6063,0.5470,0.6617,0.3506,0.2432,0.2208,0.2661,0.1921,0.3815,0.3475,0.4163,0.2395,0.3291,0.2920,0.3647,0.2278
local_global,0.5906,0.4573,0.7060,0.3336,0.5866,0.5198,0.6537,0.3488,0.2408,0.2192,0.2620,0.1835,0.4375,0.4032,0.4734,0.3023,0.3813,0.3465,0.4217,0.2871
