cell,nbins,win,signed,skill,lo,hi,feat_dim,n_images
16,18,64,False,0.7722,0.7351,0.8098,128304,298
32,18,64,True,0.7605,0.7246,0.7969,3888,298
32,18,64,False,0.7582,0.7191,0.7952,3888,298
16,9,64,False,0.7560,0.7176,0.7919,64152,298
16,18,64,True,0.7520,0.7133,0.7907,128304,298
32,9,64,True,0.7504,0.7142,0.7868,1944,298
8,18,64,False,0.7408,0.6980,0.7828,2593080,298
32,9,64,False,0.7381,0.7005,0.7737,1944,298
16,9,64,True,0.7336,0.6943,0.7739,64152,298
8,9,64,False,0.7257,0.6838,0.7685,1296540,298
4,18,64,False,0.7173,0.6736,0.7628,46947600,298
8,18,64,True,0.7168,0.6728,0.7606,2593080,298
8,9,64,True,0.7006,0.6537,0.7477,1296540,298
4,9,64,False,0.6999,0.6549,0.7467,23473800,298
4,18,64,True,0.6780,0.6253,0.7318,46947600,298
4,9,64,True,0.6433,0.5891,0.7012,23473800,298
