method,n_crops,median_s,mean_s,p25_s,p75_s
pixel_correlation,48,0.000056,0.000159,0.000035,0.000123
sliding_window,48,0.000068,0.000163,0.000042,0.000126
dct,48,0.000147,0.001030,0.000085,0.000425
eros,48,0.001138,0.001881,0.000767,0.002292
gradient,48,0.000723,0.002784,0.000524,0.002085
multi_scale_gradient,48,0.000359,0.001090,0.000267,0.000975
hog,48,0.000453,0.001809,0.000307,0.001159
phog,48,0.000852,0.001847,0.000695,0.001576
gabor,48,0.014899,0.045505,0.012793,0.032139
alexnet,48,0.009899,0.010360,0.009739,0.010415
deep_features,48,0.168868,0.170406,0.164185,0.174055
weighted_binary,48,0.000050,0.000124,0.000037,0.000107
local_global,48,0.007787,0.079132,0.005508,0.015884
